NA,SI,AL,CR,CU,FE,PB,SN,MO,AG,MN,TI,V,BA,CA,MG,P,B,ZN,NI,LI,K,CD,KV40,Water,Status,Outliers,Interpretation
9.1,17.0,18.0,6.1,98.0,914.0,2.0,2.0,0.7,0.0,16.0,1.8,0.1,0.3,34.0,4.8,2000.0,7.4,71.0,2.4,0.1,1.5,0.0,191.1,0.1,Serious,"['AL', 'CR', 'FE', 'MN', 'CA', 'ZN']",Visible debris present. Viscosity not consistent with stated grade. Wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
16.0,13.0,4.2,1.5,82.0,145.0,5.1,0.0,1.6,0.0,10.0,0.3,0.1,0.3,3768.0,13.0,1217.0,120.0,1563.0,3.1,0.1,1.3,0.0,104.6,0.1,Serious,[],Visible debris present (metal / metal-like particles). The level of Copper suggests wear of bearing; bush or bearing cage type material. Advice : Change oil if not changed when sampled. Check unit for abnormal noise and heat and feedback findings before next sample. Resample at the next service intervention.
8.5,21.0,17.0,6.2,110.0,963.0,2.7,1.9,0.7,0.0,17.0,1.3,0.1,0.2,30.0,5.3,2000.0,7.3,77.0,3.5,0.0,1.4,0.0,191.1,0.1,Serious,"['CR', 'FE', 'MN', 'CA', 'ZN']",Visible debris present. High viscosity noted. Wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
8.8,18.0,17.0,5.8,114.0,985.0,1.5,2.8,0.6,0.0,18.0,2.0,0.1,0.3,50.0,4.8,1966.0,10.0,80.0,3.2,0.1,1.5,0.0,191.8,0.1,Serious,"['CR', 'FE', 'MN', 'CA', 'ZN']",Visible debris present. High viscosity noted. Wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
11.0,7.0,1.8,0.3,5.0,13.0,0.9,0.6,1.4,0.0,0.3,0.2,0.9,0.3,3244.0,22.0,1057.0,91.0,1432.0,0.3,0.4,2.1,0.1,98.4,0.1,Normal,[],Condition satisfactory.
10.0,12.0,2.6,0.6,13.0,40.0,0.0,1.2,1.5,0.0,0.7,0.2,0.9,0.2,3090.0,21.0,1008.0,88.0,1352.0,0.4,0.4,1.6,0.0,90.5,0.1,Normal,[],Condition satisfactory.
11.0,8.0,1.5,1.0,21.0,248.0,0.0,2.2,1.6,0.0,1.9,0.2,0.9,0.1,3440.0,21.0,1087.0,92.0,1429.0,0.5,0.4,1.8,0.1,106.7,0.1,Normal,[],Condition satisfactory.
6.2,24.0,9.4,2.1,170.0,361.0,5.2,2.4,0.4,0.0,7.2,0.5,0.9,0.1,3282.0,8.3,1037.0,84.0,1341.0,1.4,0.3,2.3,0.2,104.9,0.1,Normal,[],Condition satisfactory.
6.2,26.0,5.6,1.5,97.0,239.0,3.4,2.1,0.5,0.0,4.0,0.5,0.9,0.0,3379.0,8.8,1051.0,90.0,1358.0,1.3,0.3,2.4,0.2,110.7,0.1,Normal,[],Condition satisfactory.
12.0,9.2,3.7,1.3,63.0,185.0,1.3,1.2,2.0,0.0,4.0,0.3,0.9,0.0,2610.0,13.0,1404.0,69.0,1030.0,1.1,0.3,1.0,0.0,122.9,0.1,Normal,[],Condition satisfactory.
12.0,11.0,4.3,1.6,86.0,207.0,3.6,2.2,2.1,0.0,5.8,0.4,0.9,0.1,2617.0,13.0,1390.0,70.0,1028.0,1.3,0.3,1.4,0.0,121.7,0.1,Serious,[],The analysis indicates the wear rates appear to be at a satisfactory level however visual metallic/metallic-like debris is present. Recommend re-sampling at the next service schedule..
11.0,13.0,4.6,1.4,77.0,170.0,0.0,1.8,2.0,0.0,4.6,0.4,0.9,0.2,2491.0,13.0,1161.0,66.0,977.0,1.1,0.5,1.5,0.1,115.6,0.1,Normal,[],Condition satisfactory.
13.0,9.6,3.1,1.1,12.0,117.0,12.0,0.8,1.7,0.0,15.0,0.3,0.9,0.4,2792.0,9.8,1396.0,78.0,1118.0,1.8,0.8,1.7,0.0,126.7,0.1,Normal,[],Condition satisfactory.
8.9,23.0,4.9,3.1,736.0,666.0,15.0,3.8,0.9,0.1,7.9,0.4,0.1,0.2,1962.0,7.6,880.0,76.0,887.0,2.1,0.3,3.0,0.1,88.3,0.1,Serious,"['CU', 'FE']",Visible debris present. The level of Copper suggests wear of bearing; bush or bearing cage type material. Advice : Change oil if not changed when sampled.
13.0,16.0,4.9,1.1,16.0,123.0,2.2,1.1,0.7,0.0,9.3,0.4,0.9,0.3,2648.0,10.0,1437.0,70.0,1075.0,1.7,0.4,1.4,0.0,137.0,0.1,Serious,[],Viscosity not consistent with stated grade. Visible debris present; but not considered significant. Wear appears satisfactory. Advise monitor at the recommended sampling period. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
13.0,10.0,3.5,1.0,13.0,98.0,1.8,1.1,1.3,0.0,8.0,0.3,0.9,0.2,2741.0,9.8,1393.0,72.0,1081.0,1.2,0.4,0.9,0.0,134.1,0.1,Serious,[],Viscosity not consistent with stated grade. Visible debris present; but not considered significant. Wear appears satisfactory. Advise monitor at the recommended sampling period. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
13.0,8.3,1.5,0.3,6.3,34.0,0.0,0.2,0.8,0.0,1.0,0.1,0.0,0.0,3751.0,12.0,1224.0,105.0,1482.0,0.3,0.0,0.6,0.0,113.9,0.1,Normal,[],Condition satisfactory.
15.0,14.0,2.9,0.2,6.9,28.0,0.0,0.7,5.2,0.0,0.8,0.1,0.0,0.0,3814.0,10.0,1218.0,112.0,1506.0,0.3,0.0,1.3,0.0,110.3,0.1,Normal,[],Condition satisfactory.
13.0,8.2,1.5,0.3,6.2,34.0,0.0,0.5,0.8,0.0,1.0,0.1,0.0,0.0,3663.0,12.0,1188.0,101.0,1451.0,0.3,0.0,0.2,0.0,113.9,0.1,Normal,[],Condition satisfactory.
14.0,8.4,1.4,0.3,5.2,31.0,0.0,0.1,3.6,0.0,1.0,0.1,0.0,0.0,3777.0,10.0,1231.0,106.0,1493.0,0.3,0.0,0.1,0.0,113.3,0.1,Normal,[],Condition satisfactory.
11.0,13.0,4.5,1.3,43.0,200.0,0.0,1.1,1.6,0.0,5.0,0.3,0.0,0.0,3162.0,12.0,1290.0,89.0,1252.0,0.9,0.0,0.5,0.0,115.0,0.1,Normal,[],Condition satisfactory.
12.0,10.0,3.8,0.7,37.0,117.0,0.3,0.4,1.6,0.0,4.2,0.4,0.0,0.0,3082.0,11.0,1304.0,89.0,1222.0,0.5,0.0,1.2,0.0,115.3,0.1,Serious,[],The analysis indicates the wear rates appear to be at a satisfactory level however visual metallic/metallic-like debris is present. Recommend re-sampling at the next service schedule.
10.0,9.8,2.6,0.7,28.0,90.0,0.0,0.6,1.4,0.0,3.5,0.2,0.0,0.0,2933.0,10.0,1260.0,83.0,1169.0,0.5,0.0,0.6,0.0,116.7,0.1,Serious,[],The analysis indicates the wear rates appear to be at a satisfactory level however visual metallic/metallic-like debris is present. Recommend re-sampling at the next service schedule.
10.0,9.0,5.2,0.7,20.0,147.0,0.3,0.6,0.8,0.0,1.5,0.1,0.0,0.0,3363.0,9.8,1062.0,92.0,1384.0,0.0,0.0,0.9,0.0,99.5,0.1,Normal,[],Condition satisfactory.
12.0,10.0,4.0,0.7,36.0,142.0,1.0,0.6,0.9,0.0,1.7,0.1,0.0,0.0,3781.0,11.0,1161.0,102.0,1537.0,0.1,0.0,1.1,0.0,108.0,0.1,Normal,[],Condition satisfactory.
14.0,31.0,4.4,1.0,43.0,149.0,0.2,1.2,1.1,0.0,1.7,0.1,0.0,0.0,3992.0,13.0,1193.0,107.0,1598.0,0.2,1.2,1.3,0.0,107.9,0.1,Normal,[],Condition satisfactory.
11.0,8.1,3.8,0.6,23.0,106.0,0.4,0.4,0.8,0.0,1.3,0.0,0.0,0.0,3743.0,11.0,1145.0,99.0,1528.0,0.1,0.0,0.7,0.0,107.0,0.1,Normal,[],Condition satisfactory.
12.0,11.0,5.0,1.5,31.0,199.0,0.0,0.1,0.7,0.0,3.3,0.3,0.0,0.2,3665.0,12.0,1167.0,95.0,1484.0,0.6,0.0,1.0,0.0,111.8,0.1,Normal,[],Condition satisfactory.
9.6,14.0,6.1,1.8,70.0,308.0,1.1,0.6,1.5,0.0,6.7,0.6,0.0,0.0,2780.0,12.0,1407.0,78.0,1117.0,1.0,0.0,0.4,0.0,122.0,0.1,Serious,[],The analysis indicates the wear rates appear to be at a satisfactory level however visual metallic/metallic-like debris is present. Recommend re-sampling at the next service schedule..
8.6,13.0,4.8,1.6,31.0,261.0,0.2,0.5,1.4,0.0,5.7,0.5,0.0,0.0,2542.0,11.0,1314.0,72.0,1029.0,0.8,0.0,0.8,0.0,115.8,0.1,Normal,[],Condition satisfactory.
16.0,8.0,1.5,0.3,8.3,25.0,0.4,0.0,0.8,0.0,0.8,0.1,0.1,0.1,3666.0,13.0,1137.0,116.0,1496.0,0.7,0.1,1.6,0.0,110.5,0.1,Normal,[],Condition satisfactory.
13.0,11.0,1.7,0.5,11.0,54.0,0.4,0.5,2.1,0.0,1.6,0.1,0.0,0.1,3574.0,15.0,1094.0,114.0,1433.0,0.9,0.1,1.4,0.1,107.4,0.1,Normal,[],Condition satisfactory.
16.0,6.4,1.6,0.2,5.3,24.0,18.0,0.0,1.3,0.0,0.4,0.1,0.0,0.2,3371.0,11.0,1056.0,112.0,1332.0,0.2,0.1,0.8,0.0,108.2,0.1,Normal,[],Condition satisfactory.
14.0,10.0,1.9,0.5,3.4,60.0,1.1,0.4,2.6,0.0,1.5,0.2,0.0,0.1,3337.0,16.0,1043.0,114.0,1321.0,0.8,0.0,1.1,0.0,106.1,0.1,Normal,[],Condition satisfactory.
14.0,10.0,2.0,0.6,9.9,67.0,1.8,0.0,5.0,0.0,2.7,0.1,0.0,0.1,3793.0,19.0,1196.0,121.0,1588.0,1.0,0.0,1.2,0.0,99.0,0.1,Normal,[],Condition satisfactory.
14.0,11.0,1.9,0.9,87.0,95.0,6.2,0.0,4.6,0.0,3.1,0.1,0.1,0.2,3520.0,17.0,1147.0,112.0,1503.0,1.7,0.0,1.4,0.0,98.7,0.1,Serious,[],The level of Copper suggests wear of bearing; bush or bearing cage type material. Advice : Change oil if not changed when sampled. 
9.3,27.0,8.7,0.8,5.7,81.0,204.0,0.0,4.3,0.0,1.2,0.3,0.0,0.8,3532.0,18.0,1177.0,108.0,1441.0,0.3,0.5,4.4,0.0,96.5,0.1,Serious,['PB'],The level of Lead appears high and may indicate that there is some bearing wear. Advice : Change oil if not changed when sampled.
12.0,12.0,2.1,0.8,29.0,101.0,4.0,0.0,4.5,0.0,2.8,0.1,0.0,0.1,3438.0,16.0,1116.0,111.0,1445.0,1.2,0.0,0.9,0.0,98.6,0.1,Normal,[],Condition satisfactory.
17.0,8.4,1.5,0.4,15.0,48.0,1.6,0.5,1.4,0.0,1.5,0.1,0.0,0.0,3481.0,11.0,1081.0,117.0,1380.0,0.9,0.0,1.2,0.0,111.1,0.1,Normal,[],Condition satisfactory.
17.0,8.4,1.6,0.5,3.4,41.0,1.0,0.0,0.8,0.0,1.5,0.1,0.0,0.0,3391.0,10.0,1070.0,113.0,1317.0,0.8,0.0,0.8,0.0,109.5,0.1,Normal,[],Condition satisfactory.
15.0,10.0,1.8,0.6,4.4,53.0,0.2,0.0,1.1,0.0,1.9,0.1,0.0,0.1,3451.0,14.0,1088.0,117.0,1383.0,1.1,0.0,1.3,0.1,109.1,0.1,Normal,[],Condition satisfactory.
12.0,9.8,3.2,0.6,24.0,74.0,0.6,0.0,0.7,0.0,2.4,0.3,0.0,0.2,3180.0,11.0,1337.0,93.0,1309.0,0.2,0.1,0.8,0.0,123.7,0.1,Normal,[],Condition satisfactory.
14.0,13.0,2.6,0.3,87.0,61.0,1.6,2.0,0.2,0.0,2.1,0.1,0.0,1.6,3462.0,12.0,1100.0,97.0,1451.0,0.0,12.0,1.8,0.0,111.5,0.1,Normal,['LI'],Condition satisfactory.
9.1,7.7,2.2,0.5,27.0,69.0,1.6,0.0,0.8,0.3,2.0,1.0,0.0,0.1,2895.0,8.8,1334.0,88.0,1186.0,0.3,0.1,1.0,0.1,126.8,0.1,Normal,[],Condition satisfactory.
12.0,9.5,3.5,0.9,31.0,94.0,0.1,0.1,0.8,0.0,2.9,0.4,0.0,0.0,2686.0,7.8,1252.0,86.0,1072.0,0.6,0.0,0.8,0.0,125.2,0.1,Normal,[],Condition satisfactory.
10.0,8.6,1.5,0.3,1.4,31.0,0.0,0.1,0.1,0.0,0.8,0.0,0.0,0.0,4014.0,11.0,1184.0,102.0,1599.0,0.0,0.0,1.6,0.0,111.4,0.1,Normal,[],Condition satisfactory.
11.0,21.0,3.7,0.8,2.7,90.0,0.5,0.3,0.5,0.0,2.4,0.2,0.0,0.0,4011.0,14.0,1186.0,104.0,1591.0,1.2,0.0,2.1,0.0,111.1,0.1,Normal,[],Condition satisfactory.
12.0,17.0,2.4,0.4,0.6,74.0,0.0,0.2,0.3,0.0,1.1,0.0,0.0,0.0,3719.0,9.6,1120.0,100.0,1463.0,0.5,0.0,2.0,0.0,111.5,0.1,Normal,[],Condition satisfactory.
12.0,17.0,5.1,0.5,33.0,95.0,0.0,0.9,0.3,0.0,1.9,0.2,0.0,0.0,3702.0,8.0,1139.0,107.0,1445.0,0.0,0.0,2.5,0.0,112.4,0.1,Normal,[],Condition satisfactory.
8.3,37.0,7.0,1.5,32.0,163.0,0.0,1.1,0.1,0.0,7.5,1.3,0.0,0.0,3707.0,8.6,1098.0,105.0,1411.0,0.3,0.0,2.4,0.0,114.9,0.1,Normal,[],Condition satisfactory.
9.1,37.0,5.0,0.6,59.0,93.0,0.6,1.7,0.0,0.0,2.5,0.2,0.0,0.0,3616.0,6.3,1090.0,103.0,1406.0,0.0,0.0,2.5,0.0,112.4,0.1,Caution,[],The level of Copper is higher than expected and suggests the presence of wear debris from bearing or bush type material. Visible debris present. Advice : Resample at recommended sampling interval to follow trends.
14.0,9.7,2.3,0.3,2.0,31.0,0.0,0.4,1.5,0.0,0.9,0.0,0.0,0.0,3573.0,12.0,1086.0,102.0,1399.0,0.2,0.0,1.1,0.0,110.1,0.1,Normal,[],Condition satisfactory.
13.0,3.2,1.2,0.1,5.2,12.0,35.0,0.5,1.1,0.0,0.4,0.0,0.0,0.0,3161.0,8.0,995.0,90.0,1252.0,0.0,0.0,1.1,0.0,108.3,0.1,Normal,[],Condition satisfactory.
13.0,8.8,1.9,0.2,7.0,30.0,0.0,0.5,1.6,0.0,0.8,0.1,0.0,0.0,3570.0,12.0,1098.0,99.0,1411.0,0.3,0.0,1.1,0.0,110.6,0.1,Normal,[],Condition satisfactory.
14.0,8.3,1.4,0.2,1.5,21.0,0.0,0.0,1.4,0.0,0.5,0.0,0.0,0.0,3782.0,13.0,1132.0,105.0,1486.0,0.1,0.0,0.9,0.0,110.5,0.1,Normal,[],Condition satisfactory.
4.8,10.0,4.9,1.1,26.0,143.0,0.0,1.2,1.3,0.0,2.0,0.6,0.0,0.0,1441.0,11.0,632.0,42.0,796.0,0.0,0.0,2.1,0.0,58.8,0.1,Serious,[],Viscosity not consistent with stated grade. Visible debris present but wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
9.6,12.0,4.6,0.7,25.0,80.0,1.7,1.3,1.7,0.0,1.5,0.3,0.0,0.0,3034.0,11.0,990.0,84.0,1286.0,0.0,0.0,2.0,0.0,86.8,0.1,Serious,[],Low viscosity noted. Wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
4.9,8.9,4.2,0.7,17.0,74.0,0.2,1.2,1.4,0.0,1.1,0.3,0.0,0.0,1686.0,13.0,681.0,45.0,890.0,0.0,0.0,1.5,0.0,62.2,0.1,Serious,[],Visible debris present. Low viscosity noted. Wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
15.0,26.0,1.5,0.5,15.0,27.0,0.0,0.5,0.0,0.0,1.3,0.0,0.0,1.5,3989.0,9.4,1201.0,107.0,1589.0,0.0,12.0,2.6,0.0,111.7,0.1,Serious,['LI'],The analysis indicates the wear rates appear to be at a satisfactory level however visual metallic/metallic-like debris is present. Recommend re-sampling at the next service schedule.
11.0,6.7,1.8,0.2,32.0,107.0,2.1,0.0,1.9,0.0,1.0,0.0,0.0,0.0,3347.0,13.0,1088.0,109.0,1384.0,0.1,0.1,1.7,0.1,106.3,0.1,Normal,[],Condition satisfactory.
12.0,10.0,4.2,0.4,67.0,167.0,2.6,0.7,1.8,0.0,1.8,0.1,0.1,0.2,3102.0,15.0,1011.0,93.0,1268.0,0.3,0.1,2.4,0.1,100.2,0.1,Normal,[],Condition satisfactory.
14.0,8.3,2.1,0.1,1.9,17.0,0.3,0.0,1.7,0.0,0.4,0.1,0.0,0.0,3674.0,12.0,1151.0,118.0,1494.0,0.1,0.0,1.9,0.0,108.6,0.1,Normal,[],Condition satisfactory.
14.0,10.0,3.0,0.5,36.0,74.0,1.4,0.0,4.3,0.0,2.4,0.2,0.0,0.0,2900.0,16.0,1259.0,96.0,1181.0,0.1,0.0,1.1,0.0,114.9,0.1,Normal,[],Condition satisfactory.
14.0,17.0,4.6,0.6,52.0,89.0,1.4,0.2,4.6,0.0,2.6,0.3,0.1,0.0,3069.0,18.0,1189.0,99.0,1242.0,0.5,0.2,1.6,0.0,111.0,0.1,Normal,[],Condition satisfactory.
15.0,11.0,3.6,0.3,36.0,23.0,0.8,0.0,5.3,0.1,1.1,0.2,0.1,0.1,3497.0,13.0,1096.0,113.0,1422.0,0.2,1.4,1.9,0.1,114.3,0.1,Normal,[],Condition satisfactory. Report re-issued. [1]
13.0,6.8,2.2,0.4,29.0,221.0,0.9,0.0,1.4,0.0,1.7,0.0,0.0,0.0,3416.0,11.0,1084.0,105.0,1388.0,0.2,0.0,1.2,0.0,99.7,0.1,Normal,[],Condition satisfactory.
12.0,4.5,1.4,0.3,21.0,131.0,1.0,0.0,1.6,0.0,1.0,0.0,0.0,0.0,3447.0,11.0,1090.0,107.0,1405.0,0.2,0.0,1.7,0.0,101.7,0.1,Normal,[],Condition satisfactory.
13.0,4.0,1.4,0.2,23.0,101.0,0.5,0.0,1.6,0.0,0.9,0.0,0.0,0.0,3462.0,11.0,1098.0,107.0,1406.0,0.1,0.0,1.7,0.0,100.7,0.1,Normal,[],Condition satisfactory.
15.0,113.0,35.0,1.4,340.0,228.0,4.5,7.2,5.0,0.2,5.8,1.9,0.3,0.3,2953.0,15.0,1238.0,99.0,1161.0,1.2,0.3,8.1,0.3,116.4,0.1,Serious,"['SI', 'AL', 'CU', 'SN']",Visible debris present. The levels of Silicon and Aluminium suggest the ingress of dirt contamination. The levels of Copper and Tin suggest possible wear of a bearing or bush type material. Advice : Change fluid and check unit for source of contamination. Check unit for abnormal noise and heat and feedback findings before next sample. 
9.0,4.0,8.0,0.1,2.2,28.0,3.0,0.0,0.5,0.0,0.3,0.0,0.1,0.0,94.0,4.5,218.0,90.0,29.0,0.2,0.2,1.5,0.1,38.3,0.1,Caution,"['CA', 'P', 'ZN']",Viscosity not consistent with stated grade but consistent with previous sample. Visible debris present but wear appears satisfactory. Advice : Resample at the next service intervention. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
17.0,7.0,3.6,0.1,13.0,23.0,0.0,0.0,4.1,0.0,0.5,0.1,0.0,0.0,3457.0,11.0,1091.0,113.0,1404.0,0.1,0.0,2.3,0.0,108.0,0.1,Normal,[],Condition satisfactory.
17.0,7.9,1.3,0.2,11.0,22.0,0.1,0.0,5.5,0.0,0.3,0.0,0.0,0.0,3650.0,12.0,1132.0,121.0,1477.0,0.0,0.3,1.3,0.1,109.2,0.1,Normal,[],Condition satisfactory.
15.0,5.8,2.9,0.2,9.6,21.0,0.7,0.0,4.4,0.0,0.5,0.1,0.1,0.0,3415.0,10.0,1062.0,113.0,1381.0,0.0,0.1,2.5,0.1,105.8,0.1,Normal,[],Condition satisfactory.
13.0,18.0,6.2,0.6,41.0,67.0,0.3,0.0,4.3,0.0,2.2,0.3,0.1,0.0,3598.0,17.0,1158.0,118.0,1479.0,0.2,0.0,2.1,0.0,108.3,0.1,Serious,[],The analysis indicates the wear rates appear to be at a satisfactory level however visual metallic/metallic-like debris is present. Recommend re-sampling at the next service schedule..
13.0,7.6,2.3,0.2,22.0,36.0,1.8,0.0,4.3,0.0,1.2,0.1,0.0,0.5,3364.0,15.0,1114.0,109.0,1384.0,0.2,0.0,2.3,0.0,110.3,0.1,Serious,[],The analysis indicates the wear rates appear to be at a satisfactory level however visual metallic/metallic-like debris is present. Recommend re-sampling at the next service schedule.
15.0,14.0,3.7,0.4,19.0,48.0,0.6,0.0,3.9,0.0,1.3,0.2,0.0,0.0,3647.0,20.0,1207.0,123.0,1493.0,0.1,0.0,2.1,0.0,111.5,0.1,Serious,[],The analysis indicates the wear rates appear to be at a satisfactory level however visual metallic/metallic-like debris is present. Recommend re-sampling at the next service schedule.
8.7,5.1,2.2,0.2,5.6,19.0,5.2,0.9,3.5,0.0,0.5,0.1,0.0,0.1,2575.0,6.9,938.0,82.0,1197.0,0.6,0.0,1.2,0.0,73.0,0.1,Serious,[],Low viscosity noted. Wear appears satisfactory. Advice : Resample at recommended sampling interval to follow trends. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report.
16.0,5.9,4.5,0.3,31.0,95.0,3.1,0.0,2.8,0.0,2.1,0.0,0.0,0.1,3728.0,8.2,1198.0,122.0,1481.0,0.7,0.0,1.4,0.0,110.5,0.1,Serious,[],The analysis indicates the wear rates appear to be at a satisfactory level however visual metallic/metallic-like debris is present. Recommend re-sampling at the next service schedule.
12.0,5.2,2.3,0.2,7.6,53.0,2.8,0.0,3.5,0.0,0.6,0.1,0.1,0.0,3091.0,7.4,1034.0,102.0,1299.0,0.6,0.0,1.1,0.0,90.9,0.1,Normal,[],Condition satisfactory.
12.0,7.7,2.1,0.6,10.0,65.0,0.0,0.0,0.0,0.0,4.4,0.1,0.1,0.1,3609.0,14.0,1342.0,111.0,1449.0,1.7,0.0,1.7,0.0,116.9,0.1,Serious,[],The analysis indicates the wear rates appear to be at a satisfactory level however visual metallic/metallic-like debris is present. Recommend re-sampling at the next service schedule.
13.0,8.3,1.7,0.4,3.8,52.0,2.0,0.0,1.3,0.0,6.5,0.1,0.1,0.1,3360.0,13.0,1208.0,110.0,1353.0,1.1,0.0,1.0,0.0,116.9,0.1,Normal,[],Condition satisfactory.
14.0,9.5,1.5,0.5,3.6,63.0,2.8,0.0,1.2,0.0,7.0,0.1,0.1,0.2,3361.0,13.0,1179.0,113.0,1337.0,1.2,0.1,0.9,0.0,116.7,0.1,Serious,[],The analysis indicates the wear rates appear to be at a satisfactory level however visual metallic/metallic-like debris is present. Recommend re-sampling at the next service schedule.
13.0,14.0,4.0,1.8,19.0,249.0,4.8,0.0,1.1,0.0,5.3,0.2,0.1,0.4,2744.0,9.5,1398.0,89.0,1125.0,3.5,0.1,1.4,0.0,131.0,0.1,Serious,[],Visible debris present (metal / metal-like particles). Viscosity not consistent with stated grade / application type. Advice : Change oil if not changed when sampled. Re-confirm lubricant required / in use and system sampled and feedback if different to that stated on report. 
12.0,11.0,5.0,1.3,17.0,144.0,7.7,0.6,0.6,0.0,3.6,0.2,0.0,0.4,2486.0,8.1,1494.0,85.0,1023.0,2.9,0.1,1.2,0.0,135.7,0.1,Serious,[],Visible debris present. High viscosity noted. Wear appears satisfactory. Advice : Resample at the next service intervention.
12.0,10.0,2.7,1.0,8.2,102.0,1.7,0.0,0.5,0.0,2.4,0.2,0.1,0.3,2723.0,9.0,1394.0,92.0,1115.0,1.9,0.2,1.1,0.0,129.6,0.1,Serious,[],The analysis indicates the wear rates appear to be at a satisfactory level however visual metallic/metallic-like debris is present. Recommend re-sampling at the next service schedule.
2.0,4.9,3.9,1.3,36.0,185.0,0.0,2.4,0.9,0.1,3.9,0.6,1.5,0.1,50.0,1.6,415.0,2.6,28.0,1.3,2.8,0.0,0.1,149.0,0.1,Normal,"['CA', 'B', 'ZN']",Condition satisfactory. 
1.6,16.0,2.9,0.9,101.0,511.0,1.7,3.1,1.5,0.0,4.4,0.2,0.2,0.7,3058.0,14.0,972.0,91.0,1172.0,3.1,0.1,1.4,0.2,101.9,0.1,Normal,[],Condition satisfactory.
4.7,17.0,3.2,0.8,78.0,445.0,1.9,1.4,2.0,0.0,4.3,0.1,0.1,0.4,3255.0,15.0,1042.0,98.0,1266.0,1.3,0.0,1.9,0.2,104.0,0.1,Normal,[],Condition satisfactory.
4.0,18.0,3.4,0.9,76.0,547.0,1.9,2.2,2.1,0.0,4.5,0.2,0.2,0.5,3438.0,17.0,1100.0,107.0,1362.0,1.4,0.0,1.7,0.2,106.8,0.1,Normal,[],Condition satisfactory.
12.0,7.6,1.5,0.2,3.6,25.0,0.3,2.3,0.7,0.0,1.0,0.1,0.0,0.0,3580.0,11.0,1107.0,115.0,1448.0,0.7,0.1,0.8,0.1,114.4,0.1,Normal,[],Condition satisfactory.
12.0,7.3,1.1,0.2,3.6,22.0,0.7,0.0,0.6,0.0,0.9,0.1,0.0,0.0,3503.0,11.0,1084.0,112.0,1418.0,0.5,0.1,0.7,0.0,115.2,0.1,Normal,[],Condition satisfactory.
12.0,7.8,1.3,0.2,3.5,24.0,0.2,0.0,0.5,0.0,0.9,0.1,0.1,0.0,3559.0,11.0,1099.0,111.0,1446.0,0.7,0.1,0.7,0.0,114.9,0.1,Normal,[],Condition satisfactory.
7.1,7.9,2.0,1.0,8.7,94.0,1.3,0.5,0.5,0.0,3.8,0.2,0.0,0.1,2305.0,7.1,1184.0,72.0,945.0,2.2,0.1,0.2,0.0,127.8,0.1,Normal,[],Condition satisfactory.
8.9,10.0,2.4,1.2,16.0,138.0,3.0,0.0,0.4,0.0,3.6,0.2,0.0,0.1,2440.0,8.0,1405.0,79.0,984.0,3.1,0.1,0.0,0.1,128.9,0.1,Normal,[],Condition satisfactory.
5.4,9.1,0.9,1.2,155.0,156.0,7.3,2.3,0.5,0.0,2.8,0.1,0.0,0.0,1898.0,6.7,1260.0,63.0,876.0,3.1,0.1,0.1,0.0,127.1,0.1,Serious,[],Visible debris present (metal / metal-like particles). The level of Copper suggests wear of bearing; bush or bearing cage type material. Advice : Change oil if not changed when sampled. Check for abnormal noise / heat & feedback findings. Sample secondary sampling points (if applicable) to pinpoint fault. Confirm any recent maintenance that has been performed on this sample compartment. If it does not involve a costly stopping of production and is relatively simple to perform; a visual inspection of the compartment may also be of benefit.
12.0,9.0,1.7,0.9,11.0,70.0,1.3,0.2,0.7,0.0,2.8,0.1,0.0,0.0,3397.0,11.0,1050.0,109.0,1380.0,1.9,0.0,0.3,0.1,109.5,0.1,Normal,[],Condition satisfactory.
11.0,10.0,1.7,0.8,12.0,93.0,1.8,0.8,0.7,0.0,3.3,0.1,0.1,0.0,3405.0,10.0,1062.0,110.0,1405.0,1.7,0.0,0.2,0.0,108.8,0.1,Normal,[],Condition satisfactory.
12.0,17.0,3.2,1.0,11.0,103.0,3.5,0.7,0.7,0.0,3.5,2.9,0.1,0.0,3370.0,12.0,1051.0,105.0,1386.0,3.0,0.0,0.6,0.0,109.6,0.1,Normal,['TI'],Condition satisfactory.
9.8,4.8,1.0,0.2,19.0,110.0,0.5,1.8,1.8,0.0,1.2,0.0,0.1,0.1,3135.0,10.0,1010.0,98.0,1280.0,0.3,0.1,0.9,0.1,110.3,0.1,Normal,[],Condition satisfactory.
